,ID,Species,Temperature Range
244,A0A089JY33,Paenibacillus sp.,clash
13,P00781,Bacillus licheniformis,clash
385,A0A2W1M1X5,Paenibacillus sambharensis,clash
134,A0A0J6EJ48,Bacillus glycinifermentans,clash
181,A0A7Y8V0X1,Bacillus sp.,clash
318,A0A1H7NEC5,Paenibacillus sp.,clash
342,A0A1Q5XE62,Paenibacillus sp.,clash
92,P06566,Evansella cellulosilytica,clash
190,F8IJE7,Alicyclobacillus acidocaldarius,clash
185,F8IJE7,Alicyclobacillus acidocaldarius,clash
306,A0A1E3L808,Paenibacillus nuruki,clash
582,Q5B7U2,Emericella nidulans,clash
128,Q7X3S6,Bacillus licheniformis,clash
399,A0A3Q9I8E8,Paenibacillus lutimineralis,clash
178,A0A7Y8V0X1,Bacillus sp.,clash
577,Q4X0H4,Aspergillus fumigatus,clash
554,Q0CUW9,Aspergillus terreus,clash
207,Q93R81,Bacillus sp.,clash
390,A0A3G8R7A8,Paenibacillus sp.,clash
275,A0A167B7D7,Paenibacillus crassostreae,clash
119,D1L8C9,Bacillus pumilus,clash
219,A0A2S0JZM8,Lysinibacillus sphaericus,clash
218,A0A2S0JZM8,Lysinibacillus sphaericus,clash
82,P06565,Evansella cellulosilytica,clash
80,A0A1Q3DY90,Lentinula edodes,clash
592,A1CIW4,Aspergillus clavatus,clash
359,A0A1S2F5X9,Paenibacillus sp.,clash
115,D1L8C9,Bacillus pumilus,clash
327,A0A1I0C2D6,Paenibacillus sp.,clash
248,A0A089M629,Paenibacillus sp.,clash
104,P29019,Bacillus sp.,clash
391,A0A3G8R7A8,Paenibacillus sp.,clash
250,A0A089M629,Paenibacillus sp.,clash
213,G3M0R7,Bacillus sp.,clash
249,A0A089M629,Paenibacillus sp.,clash
363,A0A1S2F5X9,Paenibacillus sp.,clash
349,A0A1R1GJK9,Paenibacillus sp.,clash
105,P29019,Bacillus sp.,clash
11,P00781,Bacillus licheniformis,clash
405,A0A401IAB6,Paenibacillus sp.,clash
201,Q59232,Bacillus sp.,clash
46,A0A0S2S8N1,Paenibacillus sp.,65<=
136,A0A0J6EJ48,Bacillus glycinifermentans,65<=
440,A5A6G0,Paenibacillus sp.,65<=
88,P06565,Evansella cellulosilytica,65<=
445,A5A6G0,Paenibacillus sp.,65<=
198,Q59232,Bacillus sp.,65<=
54,P37957,Bacillus subtilis,65<=
107,P29019,Bacillus sp.,65<=
120,D1L8C9,Bacillus pumilus,65<=
414,A0A5C8LQB2,Paenibacillus sp.,65<=
570,A0A0K6G4J4,Rhizoctonia solani,65<=
387,A0A329KXT6,Paenibacillus sp.,65<=
418,A0A5C8LQB2,Paenibacillus sp.,65<=
487,G4NTQ6,Bacillus spizizenii,65<=
260,A0A165PWQ8,Paenibacillus elgii,65<=
377,A0A2W1LR43,Paenibacillus sambharensis,65<=
266,A0A165PWQ8,Paenibacillus elgii,65<=
206,Q93R81,Bacillus sp.,65<=
214,G3M0R7,Bacillus sp.,[60-65)
200,Q59232,Bacillus sp.,[60-65)
161,A0A6I7F9R8,Bacillus sp.,[60-65)
156,A0A6I7F9R8,Bacillus sp.,[60-65)
96,P06566,Evansella cellulosilytica,[60-65)
454,A0A357M4B3,Paenibacillus sp.,[60-65)
93,P06566,Evansella cellulosilytica,[60-65)
25,A0A837XTL8,Bacillus atrophaeus,[60-65)
98,P06566,Evansella cellulosilytica,[60-65)
486,G4NTQ6,Bacillus spizizenii,[60-65)
199,Q59232,Bacillus sp.,[60-65)
0,P00780,Bacillus licheniformis,[60-65)
484,G4NTQ6,Bacillus spizizenii,[60-65)
55,Q79F14,Bacillus subtilis,[60-65)
56,Q79F14,Bacillus subtilis,[60-65)
133,A0A0J6EJ48,Bacillus glycinifermentans,[60-65)
3,P00780,Bacillus licheniformis,[60-65)
480,A0A1D8GR37,Bacillus licheniformis,[60-65)
485,G4NTQ6,Bacillus spizizenii,[60-65)
212,Q93R81,Bacillus sp.,[60-65)
144,A0A2M8T350,Bacillus sp.,[60-65)
546,A0A5M3YSH4,Aspergillus terreus,[60-65)
545,A0A5M3YSH4,Aspergillus terreus,[60-65)
12,P00781,Bacillus licheniformis,[60-65)
10,P00781,Bacillus licheniformis,[60-65)
135,A0A0J6EJ48,Bacillus glycinifermentans,[60-65)
489,Q9K5F4,Bacillus licheniformis,[60-65)
114,D1L8C9,Bacillus pumilus,[60-65)
345,A0A1Q5XE62,Paenibacillus sp.,[60-65)
394,A0A3G8R7A8,Paenibacillus sp.,[60-65)
40,A0A0S2S8N1,Paenibacillus sp.,[60-65)
312,A0A1E3L808,Paenibacillus nuruki,[60-65)
378,A0A2W1LR43,Paenibacillus sambharensis,[60-65)
165,A0A7G7U8F5,Bacillus sp.,[60-65)
159,A0A6I7F9R8,Bacillus sp.,[60-65)
106,P29019,Bacillus sp.,[60-65)
376,A0A2W1LR43,Paenibacillus sambharensis,[60-65)
257,A0A117T1J4,Paenibacillus sp.,[60-65)
329,A0A1I0C2D6,Paenibacillus sp.,[60-65)
87,P06565,Evansella cellulosilytica,[60-65)
573,A0A0K6GAZ0,Rhizoctonia solani,[60-65)
415,A0A5C8LQB2,Paenibacillus sp.,[60-65)
170,A0A7G7U8F5,Bacillus sp.,[60-65)
343,A0A1Q5XE62,Paenibacillus sp.,[60-65)
413,A0A5C8LQB2,Paenibacillus sp.,[60-65)
256,A0A117T1J4,Paenibacillus sp.,[60-65)
255,A0A117T1J4,Paenibacillus sp.,[60-65)
338,A0A1Q5XE62,Paenibacillus sp.,[60-65)
425,A0A6G4A6S7,Paenibacillus sp.,[60-65)
439,A5A6G0,Paenibacillus sp.,[60-65)
459,A0A357M4B3,Paenibacillus sp.,[60-65)
337,A0A1Q5XE62,Paenibacillus sp.,[60-65)
340,A0A1Q5XE62,Paenibacillus sp.,[60-65)
192,F8IJE7,Alicyclobacillus acidocaldarius,[60-65)
103,P29019,Bacillus sp.,[60-65)
262,A0A165PWQ8,Paenibacillus elgii,[60-65)
263,A0A165PWQ8,Paenibacillus elgii,[60-65)
